Единица освещенности.|люкс
Зазор между частями машины, устройства.|люфт
Звук, издаваемый металлическими предметами при ударе друг о друга.|лязг
Звук, возникающий при ударе зубов друг о друга.|лязг
Топленое свиное сало.|лярд
Полужидкая или густая смесь жиров с лекарственными веществами для втирания в кожу, смазывания ее.|мазь
Густое вещество для натирания, смазки.|мазь
Кукуруза.|маис
Тонкая легкая хлопчатобумажная ткань.|майя
Сельскохозяйственное орудие для выравнивания почвы (на орошаемых землях).|мала
Души умерших предков, покровительствующие своему роду и почитающиеся как божества (в древнеримской мифологии).|маны
Млекопитающее семейства морских свинок с густым блестящим мехом, похожее на зайца, обитающее в степях Южной Америки.|мара
Одна из девяти - четвертая от Солнца - больших планет Солнечной системы.|марс
Бог войны, а первоначально - бог полей и урожая (в древнеримской мифологии).|марс
Площадка на мачте корабля для наблюдения за горизонтом, установки прожекторов, навигационных и других приборов, для работ по управлению парусами.|марс
Название третьего месяца календарного года.|март
Движение в строю, характеризующееся строгой размеренностью.|марш
Походное движение войск.|марш
Музыкальное произведение с четким и размеренным в соответствии с коллективным шествием ритмом.|марш
Часть лестницы между двумя площадками.|марш
Болотистое пространство в тайге, поросшее кустарником или отдельными деревьями.|марь
Сорное растение семейства маревых.|марь
Состязание в виде спорта между двумя или несколькими спортсменами или командами.|матч
Женщина по отношению к ее детям.|мать
Самка животного по отношению к ее детенышам.|мать
Монахиня.|мать
Жена духовного лица.|мать
Пасхальный хлеб из пресного теста в виде очень тонких сухих лепешек (в религиозном быту у евреев).|маца
Высокая башня с сигнальными огнями на берегу моря или на острове для ориентации проходящих судов.|маяк
Мрак, тьма.|мгла
Непрозрачный воздух, насыщенный водяными парами; туман.|мгла
Воздух, насыщенный мельчайшими частицами пыли или дыма.|мгла
Химический элемент, мягкий и ковкий металл красновато-желтого цвета, широко применяемый в промышленности.|медь
Граница земельных участков, владений.|межа
Невспаханная полоса земли между пашнями.|межа
Возвышение дна в море, реке, озере, образованное обычно наносом песка, гальки и затрудняющее судоходство.|мель
Единица измерения.|мера
Старинная русская единица емкости для сыпучих тел, равная приблизительно одному пуду зерна.|мера
То, чем измеряют мерило.|мера
Величина, размер, степень охвата явления.|мера
Действие или совокупность действий, средств для осуществления, достижения.|меры
Древнейшее финно-угорское племя, обитавшее в Волго-Окском междуречье.|меря
Определенное повторяющееся соотношение ударных и безударных слогов внутри стихотворной строки; стихотворный размер (в стихосложении).|метр
Путевая мера длины, различная в разных странах.|миля
Неподвижный снаряд для взрыва, помещаемый под землей или под водой.|мина
Крупный разрывной снаряд для стрельбы из миномета.|мина
Самодвижущийся разрывной снаряд; торпеда.|мина
Денежная единица в Древней Греции, равная 0,1 таланта.|мина
Мера веса на Древнем Востоке, в Древней и современной Греции.|мина
Благовонное масло, употребляемое при некоторых христианских церковных обрядах.|миро
Совокупность привычек и вкусов, господствующих в определенной среде в определенное - обычно недолгое - время.|мода
Всеобщее признание, внимание, известность в данное время.|мода
Центральный отдел нервной системы животных и человека, представляющий собою вещество, состоящее из нервных клеток и волокон; орган высшей нервной деятельности.|мозг
Вещество, заполняющее полости костей у человека и позвоночных животных.|мозг
Насекомое отряда бабочек, гусеница которого является вредителем меха, шерсти, хлебных зерен, растений и т.п.|моль
Минор (употр. обычно с буквенным обозначением ноты).|моль
Единица количества вещества в Международной системе единиц.|моль
Порода небольших комнатных бульдогообразных собак с круглой головой, тупой мордой и короткой гладкой шерстью.|мопс
Специальное помещение для хранения трупов до захоронения.|морг
Старая единица измерения земли в Польше и Литве, равная приблизительно 0,5 га.|морг
Часть Мирового океана, обособленная сушей или возвышениями подводного рельефа.|море
Прохладительный сладкий напиток, приготовленный из разбавленного водой сока ягод или плодов.|морс
Фруктовый или ягодный сок, используемый для приготовления вина.|морс
Сооружение для перехода, переезда через реку, овраг, железнодорожный путь и т.п.|мост
Прием в спортивной борьбе, при котором тело борца изогнуто грудью вверх и опирается на ступни и ладони (или голову).|мост
Жидкий продукт выделения животных и человека, вырабатываемый почками.|моча
Обладание силой как источником господства, власти; могущество.|мощь
Физическая сила, крепость.|мощь
Полное отсутствие света; тьма, темнота.|мрак
Плотная шелковая или полушелковая ткань с волнообразными переливами разных цветовых оттенков.|муар
Каждая из девяти богинь, покровительниц искусств и наук (в древнегреческой мифологии).|муза
Сильное физическое или нравственное страдание; мучение.|мука
мучительное, невыносимое, очень тяжелое.|мука
Продукт питания, получаемый путем размола зерна хлебных злаков.|мука
измельченное или превратившееся в порошок.|мука
Сладкое кушанье из взбитой в пену фруктовой, ягодной, шоколадной и т.п. массы с манной крупой или желатином.|мусс
Свежевыжатый сок винограда или других фруктов.|муст
Молодое, еще не перебродившее вино.|муст
Не растворившиеся в жидкости мелкие частицы, делающие ее мутной.|муть
Насекомое отряда двукрылых.|муха
Отдельно стоящая усадьба с сельскохозяйственными постройками; хутор.|мыза
Твердое вещество или полужидкая масса из жиров и щелочей, легко растворяющиеся в воде и употребляемые для мытья и стирки.|мыло
Небольшой грызун, обычно серого цвета, с острой мордочкой и длинным хвостом.|мышь
Учитель, наставник.|мэтр
Туша или часть туши убитых животных, употребляемые в пищу.|мясо
Мягкая мышечная часть тела рыбы.|мясо
Многолетнее травянистое душистое растение семейства губоцветных, используемое в медицине, парфюмерии и кондитерском производстве.|мята
В некоторых мусульманских странах - заместитель или помощник начальника или духовного лица; иногда - начальник местной полиции, старшина сельской общины.|наиб
Самоназвание ороков, проживающих в восточной и частично южной части острова Сахалин.|нани
Самоназвание орочей, проживающих в Хабаровском крае России.|нани
Травянистое растение семейства валерьяновых с мясистым и пахучим корневищем и мелкими цветками.|нард
Приспособление в виде настила из досок, предназначенное для того, чтобы спать.|нары
Оледенелая корка на поверхности снега.|наст
Пространство или - по религиозным представлениям - место пребывания Бога.|небо
Состояние полного довольства; жизнь без нужды и забот.|нега
Блаженство, упоение.|нега
Нежность, ласковость.|нега
Наслаждения, удовольствия.|неги
Благородный газ, содержащийся в незначительных количествах в воздухе.|неон
Один из тончайших отростков-волокон, отходящих от головного и спинного мозга и образующих разветвляющуюся систему, служащую средством управления деятельностью организма.|нерв
Жилка на пластинках листьев растений и на крыльях насекомых.|нерв
Верхняя часть полости рта у человека и позвоночных животных, имеющая сводчатую форму.|небо
Засеянное поле; пашня.|нива
Сияние вокруг головы, изображаемое в виде круга (на иконах, на изображениях святых и т.п.).|нимб
Углубление в стене для помещения в нем (статуи, вазы, предмета домашней обстановки и т.п.).|ниша
Уступ в скате горы, берега, рва, окопа, траншеи и т.п.|ниша
Никогда не паханная земля; целина.|новь
Хлеб нового урожая.|новь
Одна из двух нижних конечностей человека.|нога
Опора, нижний конец (мебели, стропил, сооружений, механизмов и т.п.).|нога
Прогрессирующая влажная гангрена мягких тканей лица, наблюдаемая обычно у ослабленных детей; водяной рак.|нома
Девятая ступень диатонической гаммы (в музыке).|нона
Строфа из девяти строк (в стихосложении).|нона
Углубление под землей с одним или несколькими ходами наружу, вырытое животным и служащее ему жилищем.|нора
Север.|норд
Северный ветер.|норд
Графическое изображение музыкального звука.|нота
Отдельный звук определенной высоты в музыке и пении.|нота
Официальное дипломатическое обращение одного правительства к другому.|нота
Текст музыкального произведения в нотной записи.|ноты
Лист, тетрадь или книга с записью музыкального произведения.|ноты
Название части суток от захода до восхода солнца.|ночь
Груз, переносимый на себе.|ноша
Характер, совокупность психических свойств.|нрав
Сходный с халвой вид кондитерских изделий, обычно из сладкой, вязкой ореховой массы.|нуга
Женщина или девушка, занимающаяся уходом за ребенком, за детьми.|няня
Принятие пищи, обычно в середине дня в отличие от завтрака и ужина.|обед
Пища, кушанья, приготовляемые, предназначаемые для дневной еды.|обед
Обещание, обязательство, налагаемое на себя из религиозных соображений.|обет
Участок пахотной земли, служивший единицей обложения в новгородских землях в XV-XVII вв.|обжа
Рукоятка у плуга или сохи.|обжа
Наружная часть колеса в виде обруча, обычно обтянутого шиной.|обод
Обруч или кольцо, служащие для скрепления.|обод
Вереница следующих друг за другом повозок с грузом.|обоз
Совокупность транспортных средств, приданных войсковым частям.|обоз
Материал в виде широких полос - узорчатой бумаги, ткани и т.п. - для оклейки или обивки стен в помещениях.|обои
Остатки льна, конопли, зерен и т.п. после обивания, обмолота или вычески.|обой
Серебряная монета, равная шестой части драхмы, в Древней Греции.|обол
Бронзовая монета в Византии IX-X вв.|обол
Славянское название аваров.|обры
Фигура, ограниченная кривой линией яйцеобразной формы.|овал
Яйцевидное очертание.|овал
Одно из двенадцати зодиакальных созвездий.|овен
Яровой злак, зерна которого обычно идут на корм лошадям, а также на крупу.|овес
Строение для огневой сушки хлебов в снопах перед молотьбой.|овин
